Date,Open,High,Low,Close,Adj Close,Volume
2016-09-01,93.199997,93.91999799999999,92.400002,93.760002,93.760002,643300
2016-09-02,94.43,95.940002,94.43,95.779999,95.779999,869900
2016-09-06,96.230003,96.57,94.389999,95.260002,95.260002,653100
2016-09-07,95.379997,96.480003,95.379997,96.290001,96.290001,819800
2016-09-08,96.25,96.900002,95.199997,95.400002,95.400002,473600
2016-09-09,94.57,95.440002,91.510002,91.790001,91.790001,988200
2016-09-12,91.57,93.349998,91.019997,93.120003,93.120003,975800
2016-09-13,92.610001,93.599998,91.32,91.980003,91.980003,577700
2016-09-14,92.099998,92.589996,91.449997,92.349998,92.349998,662300
2016-09-15,92.949997,93.589996,92.040001,92.93,92.93,928300
2016-09-16,92.860001,94.099998,92.470001,93.839996,93.839996,1032700
2016-09-19,93.889999,95.440002,93.5,94.129997,94.129997,521200
2016-09-20,94.790001,94.980003,93.66999799999999,93.699997,93.699997,919800
2016-09-21,93.760002,95.699997,93.470001,95.339996,95.339996,1333100
2016-09-22,95.980003,96.230003,95.459999,95.66999799999999,95.66999799999999,1132600
2016-09-23,95.300003,95.550003,93.730003,94.129997,94.129997,422800
2016-09-26,94.07,94.129997,92.860001,93.089996,93.089996,504400
2016-09-27,93.489998,94.650002,93.07,94.440002,94.440002,578000
2016-09-28,94.540001,94.699997,93.589996,94.599998,94.599998,318100
2016-09-29,94.510002,94.510002,91.639999,92.410004,92.410004,557900
2016-09-30,92.5,94.519997,92.33000200000001,93.75,93.75,615900
2016-10-03,92.040001,92.300003,88.199997,90.209999,90.209999,1614400
2016-10-04,90.58000200000001,91.68,88.75,89.459999,89.459999,840200
2016-10-05,89.510002,90.339996,89.18,89.480003,89.480003,749700
2016-10-06,89.089996,90.150002,88.91999799999999,89.440002,89.440002,871400
2016-10-07,89.769997,90.0,88.5,89.68,89.68,698300
2016-10-10,89.709999,92.18,89.709999,91.08000200000001,91.08000200000001,535500
2016-10-11,91.32,92.040001,88.800003,89.610001,89.610001,654800
2016-10-12,90.019997,90.559998,89.110001,90.260002,90.260002,499900
2016-10-13,89.959999,91.440002,89.470001,90.949997,90.949997,641900
2016-10-14,91.050003,91.82,90.57,90.879997,90.879997,630800
2016-10-17,90.720001,91.269997,89.349998,89.790001,89.790001,644400
2016-10-18,90.900002,91.18,90.290001,90.410004,90.410004,537300
2016-10-19,91.110001,91.519997,90.25,91.010002,91.010002,501700
2016-10-20,91.0,91.610001,90.66999799999999,91.529999,91.529999,400800
2016-10-21,90.5,90.620003,88.860001,89.5,89.5,1010300
2016-10-24,90.0,91.050003,89.040001,89.260002,89.260002,845000
2016-10-25,89.989998,89.989998,87.120003,87.5,87.5,699100
2016-10-26,87.0,87.0,84.18,84.519997,84.519997,1181800
2016-10-27,84.900002,84.900002,83.269997,84.139999,84.139999,807000
2016-10-28,83.800003,86.629997,83.300003,85.16999799999999,85.16999799999999,753500
2016-10-31,85.309998,86.349998,83.629997,85.91999799999999,85.91999799999999,1377400
2016-11-01,85.860001,86.730003,83.769997,84.559998,84.559998,1308400
2016-11-02,84.480003,86.730003,84.209999,85.209999,85.209999,1150600
2016-11-03,85.709999,87.010002,85.41999799999999,86.08000200000001,86.08000200000001,585300
2016-11-04,86.089996,86.540001,85.559998,85.730003,85.730003,719100
2016-11-07,87.139999,88.690002,86.379997,87.860001,87.860001,1237200
2016-11-08,89.889999,91.959999,86.720001,88.790001,88.790001,2245900
2016-11-09,87.769997,91.379997,87.190002,90.879997,90.879997,1182900
2016-11-10,91.769997,92.620003,88.739998,90.599998,90.599998,911900
2016-11-11,90.510002,92.150002,89.82,91.540001,91.540001,923500
2016-11-14,92.059998,92.870003,89.989998,90.220001,90.220001,1109600
2016-11-15,90.519997,94.559998,90.519997,93.949997,93.949997,1372700
2016-11-16,93.41999799999999,95.339996,93.209999,94.040001,94.040001,987400
